,price,sq_area,furinture,BHK,location,bathrooms
267," 12,000 ",700 ,Unfurnished,1 BHK Independent House,"Malkajgiri, Hyderabad",No Deposit2 bathrooms
268," 47,000 ",2200 ,Semi-Furnished,3 BHK Apartment in Indu The Annexe,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
269," 11,000 ",1000 ,Unfurnished,1 BHK Apartment,"Alwal, Hyderabad",No Deposit2 bathrooms
270," 62,000 ",2000 ,Furnished,2 BHK Apartment,"Manchirevula, Hyderabad",No Deposit3 bathrooms
271," 24,000 ",1200 ,Semi-Furnished,2 BHK Apartment,"Hyderguda, Hyderabad",No Deposit2 bathrooms
272," 35,000 ",1500 ,Semi-Furnished,3 BHK Apartment in Mahindra Ashvita,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
273," 30,000 ",3000 ,Semi-Furnished,4 BHK Apartment in Poulomi Indus Crest,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
274," 34,000 ",1250 ,Semi-Furnished,2 BHK Independent Floor,"Madhapur, Hyderabad",No Deposit2 bathroomsEast facing
275," 34,000 ",878 ,Semi-Furnished,2 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit2 bathroomsEast facing
276," 64,000 ",2160 ,Furnished,3 BHK Apartment in Crown Whistling Woods,"Kokapet, Hyderabad",No Deposit3 bathroomsEast facing
277," 21,000 ",1200 ,Semi-Furnished,3 BHK Apartment in Jain Salzburg,"Bandlaguda Jagir, Hyderabad",No Deposit3 bathroomsEast facing
278," 70,000 ",2800 ,Furnished,4 BHK Independent House,"Manikonda, Hyderabad",No Deposit4 bathroomsWest facing
279," 35,000 ",1515 ,Semi-Furnished,3 BHK Apartment in Sunshine S Ecopolis,"Kokapet, Hyderabad",No Deposit3 bathroomsWest facing
280," 20,000 ",700 ,Unfurnished,1 BHK Apartment,"Himayat Nagar, Hyderabad",No Deposit2 bathrooms
281," 14,000 ",1100 ,Unfurnished,1 BHK Independent House,"Bandlaguda Jagir, Hyderabad",No Deposit2 bathrooms
282," 16,000 ",700 ,Semi-Furnished,1 RK Studio Apartment,"Hafeezpet, Hyderabad",No Deposit1 bathrooms
283," 15,000 ",1500 ,Semi-Furnished,2 BHK Apartment in Swaraj Homes Laxmi Nivas Vanasthalipuram,"Vanasthalipuram, Hyderabad",No Deposit2 bathrooms
284," 30,000 ",1900 ,Semi-Furnished,3 BHK Apartment,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
285," 23,000 ",1800 ,Semi-Furnished,2 BHK Apartment in Sree Residence,"Nagaram, Hyderabad",No Deposit3 bathrooms
286," 26,000 ",1200 ,Semi-Furnished,2 BHK Apartment,"Jubilee Hills, Hyderabad",No Deposit2 bathrooms
287," 61,000 ",1600 ,Furnished,4 BHK Apartment,"Hitech City, Hyderabad",No Deposit4 bathroomsWest facing
288," 44,000 ",2000 ,Semi-Furnished,2 BHK Independent House,"Kukatpally, Hyderabad",No Deposit2 bathroomsNorth facing
289," 35,000 ",1800 ,Semi-Furnished,3 BHK Independent Floor,"Vijaya Nagar Colony, Hyderabad",No Deposit3 bathroomsWest facing
290," 74,000 ",4000 ,Semi-Furnished,4 BHK Apartment in  Pearl Residency,"Kondapur, Hyderabad",No Deposit4 bathroomsNorth facing
291," 44,000 ",1400 ,Semi-Furnished,2 BHK Apartment in Lodha Meridian,"Kukatpally, Hyderabad",No Deposit2 bathroomsEast facing
292," 69,000 ",2500 ,Furnished,4 BHK Apartment,"Manikonda, Hyderabad",No Deposit4 bathroomsWest facing
293," 35,000 ",2000 ,Semi-Furnished,3 BHK Independent Floor,"Mahendra Hills, Hyderabad",No Deposit3 bathroomsEast facing
294," 40,000 ",1000 ,Furnished,3 BHK Apartment,"West Marredpally, Hyderabad",No Deposit2 bathroomsNorth facing
295," 20,000 ",1100 ,Semi-Furnished,2 BHK Independent Floor,"Mahendra Hills, Hyderabad",No Deposit2 bathroomsNorthEast facing
296," 39,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Aparna Sarovar Grande,"Nallagandla Gachibowli, Hyderabad",No Deposit3 bathroomsWest facing
297," 39,000 ",1300 ,Semi-Furnished,2 BHK Apartment in Vishnu Vistara,"Hitech City, Hyderabad",No Deposit2 bathroomsEast facing
298," 44,000 ",1950 ,Semi-Furnished,3 BHK Apartment in Manbhum Around The Grove,"Hitech City, Hyderabad",No Deposit3 bathroomsNorthEast facing
299," 49,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Regalia,"Kokapet, Hyderabad",No Deposit3 bathroomsWest facing
300," 44,000 ",3500 ,Semi-Furnished,3 BHK Apartment,"Madhapur, Hyderabad",No Deposit3 bathroomsEast facing
301," 64,000 ",2200 ,Furnished,3 BHK Apartment in Lodha Meridian,"Kukatpally, Hyderabad",No Deposit3 bathroomsWest facing
302," 69,000 ",2500 ,Semi-Furnished,3 BHK Apartment in UMA Parkview Apartments,"Banjara Hills, Hyderabad",No Deposit3 bathroomsEast facing
303," 15,000 ",1050 ,Semi-Furnished,2 BHK Apartment,"Hyderguda, Hyderabad",No Deposit2 bathrooms
304," 44,000 ",1400 ,Semi-Furnished,3 BHK Apartment in Kalpataru Residency,"Sanath Nagar, Hyderabad",No Deposit3 bathroomsEast facing
305," 64,000 ",1798 ,Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsWest facing
306," 44,000 ",1450 ,Semi-Furnished,3 BHK Apartment,"Kothaguda, Hyderabad",No Deposit3 bathroomsEast facing
307," 30,000 ",1800 ,Semi-Furnished,3 BHK Apartment in SV DD Colony,"Nallakunta, Hyderabad",No Deposit3 bathrooms
308," 41,000 ",2600 ,Semi-Furnished,3 BHK Apartment in SV DD Colony,"Nallakunta, Hyderabad",No Deposit3 bathroomsNorth facing
309," 12,000 ",700 ,Semi-Furnished,1 RK Studio Apartment,"Hafeezpet, Hyderabad",No Deposit1 bathrooms
310," 6,500 ",550 ,Unfurnished,1 RK Studio Apartment,"Boduppal, Hyderabad",No Deposit1 bathrooms
311," 11,000 ",1000 ,Unfurnished,1 BHK Apartment,"Bandlaguda Jagir, Hyderabad",No Deposit2 bathrooms
312," 12,000 ",700 ,Semi-Furnished,1 RK Studio Apartment,"Hafeezpet, Hyderabad",No Deposit1 bathrooms
313," 13,200 ",800 ,Unfurnished,1 RK Studio Apartment,"Attapur, Hyderabad",No Deposit1 bathrooms
314," 9,000 ",500 ,Unfurnished,1 BHK Apartment,"Alwal, Hyderabad",No Deposit1 bathrooms
315," 45,000 ",1870 ,Semi-Furnished,3 BHK Apartment in Vishnu Vistara,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
316," 35,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Lodha Meridian,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
317," 38,000 ",1475 ,Semi-Furnished,3 BHK Apartment in Aditya Aditya Heights,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
318," 38,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Raasi Aspire,"Madhapur, Hyderabad",No Deposit3 bathroomsNorthEast facing
319," 48,000 ",2300 ,Semi-Furnished,3 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit3 bathroomsWest facing
320," 40,000 ",1670 ,Semi-Furnished,3 BHK Apartment,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
321," 54,000 ",2000 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Eterna,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
322," 44,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Aditya Aditya Heights,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
