,price,sq_area,furinture,BHK,location,bathrooms
418," 57,000 ",2000 ,Semi-Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
419," 31,000 ",2000 ,Semi-Furnished,3 BHK Apartment in Poulomi Indus Crest,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
420," 44,000 ",2400 ,Semi-Furnished,3 BHK Apartment in Aakriti CRR Lakeside Ville,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
421," 69,000 ",2000 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Eterna,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
422," 50,000 ",1845 ,Semi-Furnished,3 BHK Apartment in My Home Vihanga,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
423," 64,999 ",2000 ,Semi-Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
424," 65,000 ",2160 ,Furnished,3 BHK Apartment in Crown Whistling Woods,"Kokapet, Hyderabad",No Deposit3 bathroomsEast facing
425," 43,000 ",1270 ,Semi-Furnished,2 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
426," 55,000 ",1750 ,Semi-Furnished,3 BHK Apartment in Jayadarsini Jayadarsini Residency,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
427," 45,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Velkore Pinnacle,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
428," 65,000 ",1850 ,Semi-Furnished,3 BHK Apartment in Indis One City,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
429," 70,000 ",2360 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Eterna,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
430," 35,000 ",2050 ,Semi-Furnished,3 BHK Apartment in Aparna Cyber Life,"Nallagandla Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
431," 35,000 ",1850 ,Furnished,3 BHK Apartment,"West Marredpally, Hyderabad",No Deposit3 bathrooms
432," 40,000 ",3000 ,Semi-Furnished,4 BHK Independent House in APR Mukka Praveens Signator,"Mallampet, Hyderabad",No Deposit4 bathroomsEast facing
433, 1 L,5000 ,Semi-Furnished,5 BHK Villa,"Jubilee Hills, Hyderabad",No Deposit5 bathrooms
434," 63,000 ",1500 ,Semi-Furnished,3 BHK Apartment in GM Infinite Smondoville,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
435," 8,000 ",600 ,Unfurnished,1 BHK Independent Floor,"Masab Tank, Hyderabad",No Deposit1 bathrooms
436," 41,000 ",1500 ,Semi-Furnished,3 BHK Apartment in Trend Set Rythme,"Hitech City, Hyderabad",No Deposit2 bathroomsEast facing
437," 45,000 ",2200 ,Semi-Furnished,3 BHK Apartment in Aakriti CRR Lakeside Ville,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
438," 60,000 ",1798 ,Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsWest facing
439," 65,000 ",2140 ,Furnished,4 BHK Apartment,"Manikonda, Hyderabad",No Deposit4 bathroomsWest facing
440," 49,000 ",1600 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
441," 54,000 ",1600 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
442," 64,000 ",1700 ,Furnished,4 BHK Apartment in Lanco Hills Apartments,"Manikonda, Hyderabad",No Deposit4 bathroomsEast facing
443," 34,000 ",878 ,Semi-Furnished,2 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit2 bathroomsEast facing
444," 57,000 ",1400 ,Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
445," 44,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Velkore Pinnacle,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
446," 39,000 ",878 ,Semi-Furnished,2 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit2 bathroomsEast facing
447," 31,000 ",2300 ,Semi-Furnished,3 BHK Apartment in Poulomi Indus Crest,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
448," 64,000 ",987 ,Semi-Furnished,3 BHK Apartment,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
449," 23,000 ",1500 ,Semi-Furnished,3 BHK Apartment,"Masab Tank, Hyderabad",No Deposit4 bathroomsEast facing
450," 94,000 ",2200 ,Semi-Furnished,4 BHK Independent House,"Sri Nagar Colony, Hyderabad",No Deposit4 bathroomsNorthEast facing
451," 34,000 ",1600 ,Semi-Furnished,2 BHK Apartment in Aparna Cyber Life,"Nallagandla Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
452," 37,000 ",1300 ,Semi-Furnished,3 BHK Apartment in Prajay Megapolis,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
453," 40,000 ",1000 ,Semi-Furnished,2 BHK Apartment in Vaishnavi Fresh Living Apartments,"Madhapur, Hyderabad",No Deposit2 bathroomsNorth facing
454," 34,000 ",1098 ,Semi-Furnished,3 BHK Apartment in Cybercity Rainbow Vistas,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
455," 40,000 ",1000 ,Semi-Furnished,2 BHK Apartment in Raasi Aspire,"Madhapur, Hyderabad",No Deposit2 bathrooms
456," 44,000 ",1496 ,Furnished,2 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit2 bathroomsWest facing
457," 44,000 ",3500 ,Furnished,4 BHK Apartment in Hill County Villa,"Nizampet, Hyderabad",No Deposit4 bathroomsEast facing
458," 48,000 ",3500 ,Semi-Furnished,4 BHK Apartment in Hill County Villa,"Nizampet, Hyderabad",No Deposit4 bathroomsEast facing
459," 44,000 ",1136 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
460," 80,000 ",3300 ,Semi-Furnished,4 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit4 bathroomsEast facing
461," 60,000 ",2200 ,Semi-Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
462," 67,000 ",1900 ,Semi-Furnished,2 BHK Independent House,"Manikonda, Hyderabad",No Deposit2 bathroomsEast facing
463," 74,000 ",2680 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Eterna,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
464," 65,001 ",2140 ,Furnished,4 BHK Independent House,"Manikonda, Hyderabad",No Deposit4 bathroomsWest facing
465," 34,000 ",1375 ,Semi-Furnished,2 BHK Apartment,"Serilingampally, Hyderabad",No Deposit2 bathroomsWest facing
466," 16,000 ",600 ,Semi-Furnished,1 BHK Apartment,"Kondapur, Hyderabad",No Deposit1 bathrooms
467," 55,000 ",1750 ,Semi-Furnished,3 BHK Apartment in Jayadarsini Jayadarsini Residency,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
468," 45,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Lodha Meridian,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
469," 80,000 ",3300 ,Semi-Furnished,4 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit4 bathroomsEast facing
470," 60,000 ",2200 ,Semi-Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
471," 43,000 ",1270 ,Semi-Furnished,2 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
472," 45,000 ",1470 ,Semi-Furnished,3 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit3 bathroomsNorthEast facing
473," 45,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Atria,"Kokapet, Hyderabad",No Deposit3 bathroomsEast facing
474," 60,000 ",1798 ,Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsWest facing
475," 34,000 ",1000 ,Furnished,2 BHK Apartment in Prajay Megapolis,"Kukatpally, Hyderabad",No Deposit2 bathroomsEast facing
476," 79,000 ",3000 ,Semi-Furnished,4 BHK Apartment,"Madhapur, Hyderabad",No Deposit4 bathroomsNorth facing
477," 59,000 ",3500 ,Semi-Furnished,3 BHK Apartment in UMA Parkview Apartments,"Banjara Hills, Hyderabad",No Deposit3 bathroomsEast facing
478," 59,000 ",2800 ,Semi-Furnished,3 BHK Apartment in O2 Square Residences,"Nanakramguda, Hyderabad",No Deposit3 bathrooms
479," 37,000 ",1800 ,Furnished,3 BHK Apartment in Mahanagar Delux,"Whitefield, Hyderabad",No Deposit3 bathroomsEast facing
480," 25,000 ",1450 ,Semi-Furnished,2 BHK Apartment,"Mahendra Hills, Hyderabad",No Deposit2 bathroomsWest facing
481," 45,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Lodha Meridian,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
482," 45,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsNorthEast facing
483," 70,000 ",3600 ,Furnished,4 BHK Apartment in Mantri Euphoria,"Narsingi, Hyderabad",No Deposit4 bathroomsEast facing
484," 70,000 ",2100 ,Furnished,3 BHK Apartment in Jain Ravi Gayathri Heights,"Hitech City, Hyderabad",No Deposit3 bathroomsNorthEast facing
485," 45,000 ",2970 ,Semi-Furnished,3 BHK Apartment in Aakriti CRR Lakeside Ville,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
486," 32,000 ",2400 ,Semi-Furnished,3 BHK Apartment in Poulomi Indus Crest,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
487," 54,000 ",1600 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
488," 48,889 ",1492 ,Semi-Furnished,3 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsNorth facing
489," 18,500 ",1700 ,Semi-Furnished,2 BHK Independent House,"AS Rao Nagar, Hyderabad",No Deposit3 bathrooms
490," 12,500 ",1200 ,Unfurnished,1 BHK Apartment,"Meerpet, Hyderabad",No Deposit1 bathrooms
491," 14,000 ",900 ,Semi-Furnished,2 BHK Apartment,"Vanasthalipuram, Hyderabad",No Deposit2 bathroomsEast facing
492," 44,000 ",1450 ,Semi-Furnished,3 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
493," 79,000 ",4000 ,Semi-Furnished,4 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit4 bathroomsEast facing
494," 79,000 ",3765 ,Furnished,4 BHK Apartment in Mantri Euphoria,"Narsingi, Hyderabad",No Deposit4 bathroomsEast facing
495," 54,000 ",1400 ,Semi-Furnished,3 BHK Apartment in Lodha Meridian,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
496," 69,000 ",2350 ,Furnished,3 BHK Apartment in Jain Ravi Gayathri Heights,"Hitech City, Hyderabad",No Deposit3 bathroomsNorth facing
497," 46,000 ",1136 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsWest facing
498," 39,000 ",1100 ,Semi-Furnished,2 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit2 bathroomsEast facing
499," 49,000 ",1600 ,Furnished,3 BHK Apartment in Jubilee Hitech,"Madhapur, Hyderabad",No Deposit3 bathroomsEast facing
500," 29,000 ",1345 ,Semi-Furnished,2 BHK Apartment,"Pragathi Nagar Kukatpally, Hyderabad",No Deposit2 bathroomsEast facing
501," 37,000 ",1050 ,Semi-Furnished,2 BHK Independent Floor,"Banjara Hills, Hyderabad",No Deposit2 bathroomsEast facing
502," 71,000 ",2000 ,Semi-Furnished,3 BHK Apartment in Vishnu Vistara,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
503, 1.79 L,4700 ,Semi-Furnished,4 BHK Apartment,"Nanakramguda, Hyderabad",No Deposit4 bathroomsNorth facing
504," 62,000 ",2000 ,Semi-Furnished,4 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
505, 1.19 L,2522 ,Semi-Furnished,4 BHK Apartment in NCC Gardenia,"Gachibowli, Hyderabad",No Deposit4 bathroomsWest facing
506," 37,000 ",1000 ,Semi-Furnished,2 BHK Apartment in Aparna Sarovar Zenith,"Nallagandla Gachibowli, Hyderabad",No Deposit2 bathroomsWest facing
507," 37,000 ",1295 ,Semi-Furnished,2 BHK Apartment in Indis One City,"Kukatpally, Hyderabad",No Deposit2 bathroomsEast facing
508," 44,000 ",1410 ,Semi-Furnished,3 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
509," 47,000 ",1100 ,Furnished,2 BHK Apartment in Indis One City,"Kukatpally, Hyderabad",No Deposit2 bathroomsWest facing
510," 60,000 ",1700 ,Semi-Furnished,3 BHK Apartment in Phoenix Golfedge Residences,"Gachibowli, Hyderabad",No Deposit2 bathroomsWest facing
511," 44,000 ",3300 ,Semi-Furnished,4 BHK Villa in Yogithas Lakeview Enclave,"Shanthi Nagar, Hyderabad",No Deposit4 bathroomsNorth facing
512," 32,000 ",1100 ,Semi-Furnished,2 BHK Apartment in Provident Kenworth,"Rajendra Nagar, Hyderabad",No Deposit2 bathroomsWest facing
513," 86,000 ",2000 ,Semi-Furnished,3 BHK Apartment in My Home Abhra,"Madhapur, Hyderabad",No Deposit3 bathroomsEast facing
514," 26,000 ",1500 ,Semi-Furnished,3 BHK Apartment in Swaraj Homes Sai Durga Residency,"Amberpet, Hyderabad",No Deposit3 bathroomsEast facing
515," 49,000 ",4000 ,Unfurnished,4 BHK Apartment,"Osman Nagar, Hyderabad",No Deposit4 bathroomsEast facing
516," 39,000 ",1600 ,Semi-Furnished,3 BHK Apartment in Indis One City,"Kukatpally, Hyderabad",No Deposit3 bathroomsWest facing
517," 29,000 ",1784 ,Furnished,3 BHK Apartment in Aliens Space Station,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
518," 41,000 ",1500 ,Furnished,3 BHK Apartment in Aditya Imperial Heights,"Kukatpally, Hyderabad",No Deposit3 bathroomsNorthEast facing
519," 24,000 ",1000 ,Semi-Furnished,2 BHK Apartment in Fortune Green Mayura,"Bachupally, Hyderabad",No Deposit2 bathroomsNorthEast facing
520," 71,000 ",2000 ,Semi-Furnished,3 BHK Apartment in Vishnu Vistara,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
521," 44,000 ",3300 ,Semi-Furnished,4 BHK Villa in Yogithas Lakeview Enclave,"Shanthi Nagar, Hyderabad",No Deposit4 bathroomsNorth facing
522," 32,000 ",1100 ,Semi-Furnished,2 BHK Apartment in Provident Kenworth,"Rajendra Nagar, Hyderabad",No Deposit2 bathroomsWest facing
523," 86,000 ",2000 ,Semi-Furnished,3 BHK Apartment in My Home Abhra,"Madhapur, Hyderabad",No Deposit3 bathroomsEast facing
524," 46,000 ",1136 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsWest facing
525," 44,000 ",1410 ,Semi-Furnished,3 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
526," 47,000 ",1100 ,Furnished,2 BHK Apartment in Indis One City,"Kukatpally, Hyderabad",No Deposit2 bathroomsWest facing
527," 37,000 ",1000 ,Semi-Furnished,2 BHK Apartment in Aparna Sarovar Zenith,"Nallagandla Gachibowli, Hyderabad",No Deposit2 bathroomsWest facing
528," 45,000 ",2200 ,Semi-Furnished,3 BHK Apartment in Aakriti CRR Lakeside Ville,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
529, 1.19 L,2600 ,Furnished,3 BHK Apartment in Lodha Bellezza Sky Villas,"Hitech City, Hyderabad",No Deposit3 bathroomsWest facing
530," 29,000 ",2700 ,Semi-Furnished,3 BHK Villa,"Nizampet, Hyderabad",No Deposit3 bathroomsWest facing
531," 47,000 ",1116 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
532," 50,000 ",1798 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
533," 35,000 ",1600 ,Semi-Furnished,3 BHK Independent Floor in Reputed Builder Green View Residency,"Kondapur, Hyderabad",No Deposit3 bathroomsNorth facing
534," 65,000 ",1366 ,Semi-Furnished,4 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
535," 42,000 ",3000 ,Semi-Furnished,4 BHK Independent House in APR Mukka Praveens Signator,"Mallampet, Hyderabad",No Deposit4 bathroomsEast facing
536," 62,009 ",1945 ,Furnished,3 BHK Apartment,"Gachibowli, Hyderabad",No Deposit3 bathroomsNorth facing
537," 44,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
538," 56,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Lanco Hills Apartments,"Manikonda, Hyderabad",No Deposit3 bathroomsEast facing
539," 39,000 ",1800 ,Semi-Furnished,2 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit2 bathroomsEast facing
540," 31,000 ",1298 ,Semi-Furnished,2 BHK Apartment in Swaraj Homes Annapurna Arcade,"Saroor Nagar, Hyderabad",No Deposit2 bathroomsNorth facing
541," 52,000 ",1798 ,Semi-Furnished,3 BHK Independent Floor,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
542," 37,000 ",854 ,Semi-Furnished,2 BHK Apartment,"Hitech City, Hyderabad",No Deposit2 bathroomsEast facing
543," 60,000 ",1945 ,Furnished,3 BHK Apartment in Phoenix Golfedge Residences,"Gachibowli, Hyderabad",No Deposit3 bathroomsNorth facing
544," 28,000 ",1265 ,Semi-Furnished,2 BHK Apartment in Aparna Hill Park Silver Oaks,"Chandanagar, Hyderabad",No Deposit2 bathroomsWest facing
545," 65,000 ",1366 ,Semi-Furnished,4 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
546," 45,000 ",2970 ,Semi-Furnished,3 BHK Apartment in Aakriti CRR Lakeside Ville,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
547," 55,000 ",2100 ,Semi-Furnished,3 BHK Apartment in Lanco Hills Apartments,"Manikonda, Hyderabad",No Deposit3 bathroomsEast facing
548," 32,000 ",2400 ,Semi-Furnished,3 BHK Apartment in Poulomi Indus Crest,"Tellapur, Hyderabad",No Deposit3 bathroomsEast facing
549," 50,000 ",1798 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
550," 35,000 ",1600 ,Semi-Furnished,3 BHK Apartment in Reputed Builder Green View Residency,"Kondapur, Hyderabad",No Deposit3 bathrooms
551," 49,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Aditya Imperial Heights,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
552," 45,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Velkore Pinnacle,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
553," 45,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
554," 65,000 ",1850 ,Semi-Furnished,3 BHK Apartment in Indis One City,"Kukatpally, Hyderabad",No Deposit3 bathroomsEast facing
555," 45,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
556," 54,000 ",1798 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsNorthEast facing
557," 42,000 ",3000 ,Semi-Furnished,4 BHK Apartment in APR Mukka Praveens Signator,"Mallampet, Hyderabad",No Deposit4 bathroomsEast facing
558," 59,000 ",1945 ,Semi-Furnished,3 BHK Apartment in Vishnu Vistara,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
559," 59,000 ",1558 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
560," 59,000 ",1558 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
561," 27,000 ",1380 ,Semi-Furnished,2 BHK Apartment,"Miyapur, Hyderabad",No Deposit2 bathroomsEast facing
562," 23,000 ",1000 ,Semi-Furnished,2 BHK Apartment in Bhavya Tulasi Vanam,"Kukatpally, Hyderabad",No Deposit2 bathroomsWest facing
563," 65,000 ",2140 ,Furnished,4 BHK Independent House,"Manikonda, Hyderabad",No Deposit4 bathroomsWest facing
564," 31,000 ",1283 ,Unfurnished,2 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
565," 63,000 ",1500 ,Semi-Furnished,3 BHK Apartment in GM Infinite Smondoville,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
566," 70,000 ",3600 ,Furnished,4 BHK Apartment in Mantri Euphoria,"Narsingi, Hyderabad",No Deposit4 bathroomsEast facing
567," 17,000 ",600 ,Furnished,1 BHK Apartment,"Gowlidody, Hyderabad",No Deposit1 bathroomsNorthEast facing
568," 48,000 ",3500 ,Semi-Furnished,4 BHK Apartment in Hill County Villa,"Nizampet, Hyderabad",No Deposit4 bathroomsEast facing
569," 65,000 ",2160 ,Furnished,3 BHK Apartment in Crown Whistling Woods,"Kokapet, Hyderabad",No Deposit3 bathroomsEast facing
570," 47,000 ",1116 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsWest facing
571," 70,000 ",2360 ,Semi-Furnished,3 BHK Apartment in Rajapushpa Eterna,"Nanakramguda, Hyderabad",No Deposit3 bathroomsNorthEast facing
572," 22,000 ",1350 ,Semi-Furnished,3 BHK Apartment,"Hyderguda, Hyderabad",No Deposit2 bathrooms
573," 18,000 ",1050 ,Semi-Furnished,2 BHK Apartment,"Lakdikapul, Hyderabad",No Deposit2 bathroomsEast facing
574," 15,600 ",1417 ,Semi-Furnished,1 BHK Apartment,"Qutub Shahi Tombs, Hyderabad",No Deposit2 bathrooms
575," 12,000 ",1200 ,Semi-Furnished,1 RK Studio Apartment,"Hastinapuram, Hyderabad",No Deposit2 bathrooms
576," 10,000 ",400 ,Semi-Furnished,1 BHK Apartment,"Meerpet, Hyderabad",No Deposit2 bathrooms
577," 20,000 ",1100 ,Unfurnished,1 BHK Apartment,"Upparpally, Hyderabad",No Deposit2 bathrooms
578," 17,300 ",200 ,Furnished,1 BHK Apartment,"Manikonda, Hyderabad",No Deposit1 bathrooms
579," 11,000 ",1000 ,Unfurnished,1 BHK Apartment,"Bandlaguda Jagir, Hyderabad",No Deposit2 bathrooms
580," 18,700 ",1100 ,Unfurnished,1 BHK Apartment,"Attapur, Hyderabad",No Deposit2 bathrooms
581," 20,000 ",1400 ,Semi-Furnished,3 BHK Apartment,"Khairatabad Road, Hyderabad",No Deposit2 bathroomsNorth facing
582," 64,000 ",1188 ,Semi-Furnished,3 BHK Apartment in Prestige Ivy League,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
583," 49,000 ",1800 ,Semi-Furnished,3 BHK Apartment in Aparna Sarovar Zenith,"Nallagandla Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
584," 39,000 ",2500 ,Furnished,4 BHK Independent House,"Kokapet, Hyderabad",No Deposit5 bathrooms
585," 15,000 ",1050 ,Unfurnished,2 BHK Independent Floor,"Nampally, Hyderabad",No Deposit2 bathroomsNorth facing
586," 10,000 ",750 ,Unfurnished,1 BHK Independent Floor,"Masab Tank, Hyderabad",No Deposit1 bathrooms
587," 21,000 ",1800 ,Unfurnished,2 BHK Apartment,"Kanchan Bagh, Hyderabad",No Deposit2 bathrooms
588," 49,000 ",1315 ,Semi-Furnished,3 BHK Independent Floor,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
589, 1.29 L,4200 ,Semi-Furnished,4 BHK Villa,"Narsingi, Hyderabad",No Deposit4 bathroomsWest facing
590," 39,000 ",1297 ,Semi-Furnished,2 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit2 bathroomsWest facing
591," 59,000 ",1558 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsWest facing
592," 54,000 ",1798 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
593," 59,000 ",1345 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
594," 40,000 ",1257 ,Semi-Furnished,2 BHK Apartment in Aparna Sarovar Zenith,"Nallagandla Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
595," 28,000 ",1265 ,Semi-Furnished,2 BHK Apartment in Aparna Hill Park Silver Oaks,"Chandanagar, Hyderabad",No Deposit2 bathroomsWest facing
596," 45,000 ",2970 ,Semi-Furnished,3 BHK Apartment in Aakriti CRR Lakeside Ville,"Tellapur, Hyderabad",No Deposit3 bathroomsNorthEast facing
597," 45,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Velkore Pinnacle,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
598," 50,000 ",1798 ,Semi-Furnished,3 BHK Apartment in My Home Mangala,"Kondapur, Hyderabad",No Deposit3 bathroomsEast facing
599," 45,000 ",1650 ,Semi-Furnished,3 BHK Apartment in Cybercity Marina Skies,"Hitech City, Hyderabad",No Deposit3 bathroomsWest facing
600," 70,000 ",3300 ,Semi-Furnished,4 BHK Apartment in Lansum Etania,"Nanakramguda, Hyderabad",No Deposit4 bathroomsEast facing
601," 50,000 ",2200 ,Semi-Furnished,3 BHK Apartment in Northstar District 1,"Nanakramguda, Hyderabad",No Deposit3 bathroomsEast facing
602," 35,000 ",1270 ,Semi-Furnished,2 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit2 bathroomsEast facing
603," 55,000 ",2160 ,Furnished,3 BHK Apartment in Crown Whistling Woods,"Kokapet, Hyderabad",No Deposit3 bathroomsEast facing
604," 60,000 ",1738 ,Semi-Furnished,3 BHK Apartment in Prestige Ivy League,"Hitech City, Hyderabad",No Deposit3 bathroomsEast facing
605," 30,000 ",1200 ,Semi-Furnished,2 BHK Apartment in Fortune Green Mayura,"Bachupally, Hyderabad",No Deposit2 bathroomsNorthEast facing
606," 35,000 ",1600 ,Semi-Furnished,3 BHK Independent Floor in Reputed Builder Green View Residency,"Kondapur, Hyderabad",No Deposit3 bathroomsNorth facing
607," 42,000 ",3000 ,Semi-Furnished,4 BHK Apartment in APR Mukka Praveens Signator,"Mallampet, Hyderabad",No Deposit4 bathroomsEast facing
608," 60,000 ",1993 ,Semi-Furnished,4 BHK Apartment in Prestige High Fields,"Gachibowli, Hyderabad",No Deposit3 bathroomsEast facing
609," 23,000 ",1150 ,Semi-Furnished,2 BHK Apartment,"Lakdikapul, Hyderabad",No Deposit2 bathroomsNorth facing
