,sq_area,furinture,Price_in_rupees,BHK_,House_Type,Location,Locality,No_of_Bathrooms,Facing
185,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,2,
186,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,3,East facing
187,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,3,East facing
188,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,2,East facing
189,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,2,East facing
190,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,2,East facing
191,2400,Unfurnished,30000,4,Villa, Hyderabad,Nizampet,2,East facing
192,1300,Semi-Furnished,12000,2,Independent House, Hyderabad,Boduppal,2,NorthEast facing
193,1300,Semi-Furnished,12000,2,Independent House, Hyderabad,Boduppal,2,NorthEast facing
194,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
195,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,
196,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
197,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
198,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
199,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
200,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
201,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
202,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
203,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
204,850,Semi-Furnished,8500,1,Independent House, Hyderabad,Vanasthalipuram,1,North facing
205,1200,Semi-Furnished,18000,3,Apartment, Hyderabad,Shaikpet,3,West facing
206,1200,Semi-Furnished,12500,2,Apartment, Hyderabad,LB Nagar,2,
207,1500,Semi-Furnished,17000,2,Independent House, Hyderabad,Nagole,2,
208,1200,Unfurnished,18000,2,Independent Floor, Hyderabad,Malakpet,2,
209,2000,Semi-Furnished,45000,3,Independent Floor, Hyderabad,LB Nagar,3,
210,2000,Semi-Furnished,25000,3,Independent House, Hyderabad,LB Nagar,4,NorthEast facing
211,1700,Semi-Furnished,27000,3,Independent House, Hyderabad,Madhapur,3,North facing
212,1280,Semi-Furnished,16000,2,Apartment, Hyderabad,Ameerpet,2,NorthEast facing
213,1450,Semi-Furnished,26000,3,Apartment, Hyderabad,Lakdikapul,3,
214,1900,Semi-Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
215,2800,Semi-Furnished,80000,4,Apartment, Hyderabad,Banjara Hills,4,NorthEast facing
216,2500,Semi-Furnished,45000,3,Apartment, Hyderabad,Sri Nagar Colony,3,East facing
217,3400,Semi-Furnished,130000,3,Apartment, Hyderabad,Banjara Hills,3,NorthWest facing
218,2000,Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,West facing
219,1800,Furnished,65000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
220,2000,Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,West facing
221,1800,Furnished,65000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
222,1900,Semi-Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
223,1000,Unfurnished,12000,2,Independent House, Hyderabad,Manneguda,2,East facing
224,9000,Semi-Furnished,500000,6,Independent House, Hyderabad,Jubilee Hills,6,
225,1200,Semi-Furnished,17000,2,Apartment, Hyderabad,Nallakunta,2,North facing
226,1400,Semi-Furnished,20000,2,Apartment, Hyderabad,Amberpet,2,
227,1200,Semi-Furnished,17000,2,Apartment, Hyderabad,Nallakunta,2,North facing
228,3000,Semi-Furnished,60000,3,Apartment, Hyderabad,Jubilee Hills,3,East facing
229,1800,Semi-Furnished,42000,3,Apartment, Hyderabad,Banjara Hills,3,NorthWest facing
230,3000,Semi-Furnished,75000,4,Apartment, Hyderabad,Jubilee Hills,4,NorthEast facing
231,2500,Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
232,2000,Semi-Furnished,40000,3,Apartment, Hyderabad,Jubilee Hills,3,East facing
233,3500,Furnished,100000,3,Apartment, Hyderabad,Jubilee Hills,3,
234,2600,Furnished,75000,3,Apartment, Hyderabad,Banjara Hills,3,NorthEast facing
235,1700,Semi-Furnished,45000,3,Apartment, Hyderabad,Banjara Hills,3,NorthWest facing
236,550,Semi-Furnished,12000,1,Apartment, Hyderabad,Jubilee Hills,1,NorthEast facing
237,2000,Furnished,52000,3,Apartment, Hyderabad,Banjara Hills,2,NorthEast facing
